pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,space,7.584955,space,24.09628,,0,0,0,0,26,1,1.1,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,1,1,1,1,1.6,1.13097,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,2,2,7,1,1.6,1.30558,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,3,3,4,1,1.6,1.149115,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,4,4,13,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,5,5,44,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,6,6,9,1,1.6,1.06613,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,7,7,24,1,1.1,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,8,8,22,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,9,9,33,1,0.6,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,10,10,41,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,11,11,45,1,1.3,1.484165,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,12,12,28,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,13,13,31,1,1,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,14,14,20,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,15,15,23,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,16,16,10,1,1.6,1.231625,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,17,17,14,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,18,18,21,1,0.1,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,19,19,6,1,1.6,0.98905,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,20,20,0,1,1.6,1.043625,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,21,21,16,1,1.2,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,22,22,11,1,1.6,1.33055,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,23,23,15,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,24,24,32,1,1.3,1.410235,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,25,25,29,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,26,26,46,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,27,27,40,1,1.2,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,28,28,3,1,1.6,1.13392,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,29,29,36,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,30,30,2,1,1.6,1.022665,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,31,31,39,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,32,32,17,1,1.3,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,33,33,27,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,34,34,47,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,35,35,25,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,i,1,0,36,36,5,1,1.6,0.99514,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,37,37,38,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,38,38,35,1,0.1,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,39,39,34,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,40,40,12,1,0.6,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,41,41,37,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,42,42,43,1,1.1,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,43,43,30,1,1.2,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,0,44,44,8,1,1.6,1.113795,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,45,45,19,1,1,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,46,46,42,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,0,47,47,18,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,0,48,22,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,1,49,19,1,1,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,2,50,46,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,3,51,32,1,1.3,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,4,52,24,1,1.1,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,5,53,35,1,0.1,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,6,54,36,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,7,55,27,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,8,56,42,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,9,57,38,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,10,58,13,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,11,59,26,1,1.1,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,1,12,60,4,1,1.6,1.218255,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,e,1,1,13,61,8,1,1.6,1.110955,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,14,62,31,1,1,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,15,63,23,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,16,64,33,1,0.6,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,17,65,47,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,18,66,14,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,0,1,19,67,39,1,0.3,,,,,,,,,,,
